,AGE,GENDER,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,PERSONAL_INCOME,AGREEMENT_RK,TARGET,LOAN_NUM_TOTAL_x,LOAN_NUM_TOTAL_y,LOAN_NUM_CLOSED
0,42,1,1,0,1,0,25000.0,60099204.0,1.0,1.0,1.0,1.0
1,28,1,1,1,1,0,10000.0,62244665.0,0.0,1.0,1.0,1.0
2,64,0,2,0,1,1,30000.0,61050759.0,0.0,1.0,1.0,1.0
3,54,1,0,0,1,0,25000.0,62079659.0,0.0,1.0,1.0,1.0
4,26,0,1,1,1,0,15000.0,66583553.0,0.0,2.0,2.0,2.0
5,63,1,2,0,0,1,7800.0,66759647.0,0.0,1.0,1.0,1.0
6,32,0,0,0,1,0,12000.0,60045224.0,1.0,1.0,1.0,1.0
7,52,1,1,0,1,0,8000.0,66593813.0,0.0,3.0,3.0,3.0
8,47,0,2,0,1,0,10000.0,62380912.0,0.0,1.0,1.0,1.0
9,23,1,0,0,1,0,7000.0,65420244.0,0.0,1.0,1.0,1.0
10,42,1,2,1,1,0,9000.0,64885090.0,0.0,1.0,1.0,1.0
11,31,1,0,0,1,0,12000.0,61241205.0,0.0,1.0,1.0,1.0
12,25,1,0,0,1,0,4900.0,65396723.0,0.0,1.0,1.0,1.0
13,37,1,2,2,1,0,20000.0,63590644.0,0.0,1.0,1.0,1.0
14,52,1,3,0,0,1,5500.0,62168155.0,0.0,1.0,1.0,1.0
15,46,1,2,0,1,0,55000.0,74560681.0,0.0,2.0,2.0,2.0
16,28,1,1,1,1,0,8500.0,60387399.0,0.0,1.0,1.0,1.0
17,62,1,0,0,0,1,8000.0,62810257.0,0.0,1.0,1.0,1.0
18,50,0,1,0,1,0,20000.0,61376906.0,0.0,1.0,1.0,1.0
19,30,1,2,2,1,0,5000.0,62178934.0,1.0,1.0,1.0,1.0
20,64,0,0,0,0,1,9000.0,61257026.0,0.0,1.0,1.0,1.0
21,41,1,0,0,1,0,6500.0,62171073.0,0.0,1.0,1.0,1.0
22,27,1,0,0,1,0,7000.0,64365052.0,0.0,1.0,1.0,1.0
23,41,1,0,0,1,0,8000.0,60456097.0,0.0,1.0,1.0,1.0
24,30,1,0,0,1,0,15000.0,75021737.0,0.0,3.0,3.0,3.0
25,61,1,2,0,1,1,27000.0,74834078.0,0.0,1.0,1.0,1.0
26,38,1,0,1,1,0,15000.0,67335615.0,0.0,3.0,3.0,3.0
27,51,1,0,0,1,0,6000.0,66194407.0,0.0,1.0,1.0,1.0
